lat,lon,alt,date,D_js,I_js,F_js,D_exe,I_exe,F_exe,D_diff,I_diff,F_diff
-60,180,100,2020,-139.88287387661254,77.6112618540338,54107.35661856716,NaN,NaN,NaN,NaN,NaN,NaN
-60,180,100,2022.5,-139.6546053810375,77.56810413248978,54000.27256890664,NaN,NaN,NaN,NaN,NaN,NaN
-60,180,100,2025,-139.42699736950362,77.52458394427255,53893.25902435162,NaN,NaN,NaN,NaN,NaN,NaN
-30,-180,0,2020,-163.65458511773247,55.581265654969584,45324.29235023628,NaN,NaN,NaN,NaN,NaN,NaN
-30,-180,0,2022.5,-163.4714748953398,55.565415969338915,45261.937646612256,NaN,NaN,NaN,NaN,NaN,NaN
-30,-180,0,2025,-163.2880096649987,55.549248775419926,45199.73458081819,NaN,NaN,NaN,NaN,NaN,NaN
-30,-180,10,2020,-163.66343034120038,55.582797007446786,45106.51050992792,NaN,NaN,NaN,NaN,NaN,NaN
-30,-180,10,2022.5,-163.48092656497417,55.566989656734435,45044.40597697677,NaN,NaN,NaN,NaN,NaN,NaN
-30,-180,10,2025,-163.29806815630099,55.55086669429408,44982.45134830079,NaN,NaN,NaN,NaN,NaN,NaN
-30,-180,100,2020,-163.7415846793476,55.595229499299414,43207.372662119116,NaN,NaN,NaN,NaN,NaN,NaN
-30,-180,100,2022.5,-163.56442706474994,55.57977781741153,43147.467954640495,NaN,NaN,NaN,NaN,NaN,NaN
-30,-180,100,2025,-163.38691853154046,55.56402693855611,43087.69851053174,NaN,NaN,NaN,NaN,NaN,NaN
-30,-90,0,2020,-170.74381658195318,29.544620982069397,30323.88258179251,NaN,NaN,NaN,NaN,NaN,NaN
-30,-90,0,2022.5,-171.02500613362773,29.527861442400646,30195.27142806326,NaN,NaN,NaN,NaN,NaN,NaN
-30,-90,0,2025,-171.3085000037286,29.510359654404326,30067.21810522973,NaN,NaN,NaN,NaN,NaN,NaN
-30,-90,10,2020,-170.77065440086352,29.558491687266557,30186.789883842164,NaN,NaN,NaN,NaN,NaN,NaN
-30,-90,10,2022.5,-171.05156234373422,29.542678135084294,30059.04695268024,NaN,NaN,NaN,NaN,NaN,NaN
-30,-90,10,2025,-171.334772153642,29.526131734891845,29931.857777588953,NaN,NaN,NaN,NaN,NaN,NaN
-30,-90,100,2020,-171.00430552177687,29.681167276957932,28989.775103712334,NaN,NaN,NaN,NaN,NaN,NaN
-30,-90,100,2022.5,-171.28263902747653,29.673548981035605,28869.526154293064,NaN,NaN,NaN,NaN,NaN,NaN
-30,-90,100,2025,-171.56325150046308,29.665278298352423,28749.79628712283,NaN,NaN,NaN,NaN,NaN,NaN
-30,0,0,2020,171.32650485563204,57.27610985340473,33257.431009057385,NaN,NaN,NaN,NaN,NaN,NaN
-30,0,0,2022.5,171.72654288861327,57.15255227359351,33107.6537113171,NaN,NaN,NaN,NaN,NaN,NaN
-30,0,0,2025,172.1274955971402,57.02659260793461,32958.509306931264,NaN,NaN,NaN,NaN,NaN,NaN
-30,0,10,2020,171.31538114594184,57.24310127166653,33109.029349102704,NaN,NaN,NaN,NaN,NaN,NaN
-30,0,10,2022.5,171.71413933928642,57.12007954490578,32960.46462529554,NaN,NaN,NaN,NaN,NaN,NaN
-30,0,10,2025,172.11381115825804,56.99467224757375,32812.526423046496,NaN,NaN,NaN,NaN,NaN,NaN
-30,0,100,2020,171.21842130924998,56.95307556915168,31812.4606059756,NaN,NaN,NaN,NaN,NaN,NaN
-30,0,100,2022.5,171.6061036830832,56.83480456933836,31674.278178169323,NaN,NaN,NaN,NaN,NaN,NaN
-30,0,100,2025,171.99469048255526,56.71428993330173,31536.668295241063,NaN,NaN,NaN,NaN,NaN,NaN
-30,90,0,2020,167.97871304129782,61.614708206896054,49084.07149567606,NaN,NaN,NaN,NaN,NaN,NaN
-30,90,0,2022.5,168.24904044832084,61.5882152674616,49079.546689351686,NaN,NaN,NaN,NaN,NaN,NaN
-30,90,0,2025,168.51894979151996,61.56118459403692,49075.27955095201,NaN,NaN,NaN,NaN,NaN,NaN
-30,90,10,2020,167.99269587511472,61.600168847106,48837.27497957588,NaN,NaN,NaN,NaN,NaN,NaN
-30,90,10,2022.5,168.26180744505334,61.57369574694084,48832.737411195994,NaN,NaN,NaN,NaN,NaN,NaN
-30,90,10,2025,168.5305038974679,61.54668948292634,48828.454221164415,NaN,NaN,NaN,NaN,NaN,NaN
-30,90,100,2020,168.11615171940093,61.47313943323867,46690.22081997439,NaN,NaN,NaN,NaN,NaN,NaN
-30,90,100,2022.5,168.37465738271905,61.44681857108468,46685.54401817745,NaN,NaN,NaN,NaN,NaN,NaN
-30,90,100,2025,168.63277331327907,61.420003582656534,46681.09404312503,NaN,NaN,NaN,NaN,NaN,NaN
-30,180,0,2020,-163.65458511773247,55.5812656549696,45324.29235023629,NaN,NaN,NaN,NaN,NaN,NaN
-30,180,0,2022.5,-163.4714748953398,55.56541596933892,45261.937646612256,NaN,NaN,NaN,NaN,NaN,NaN
-30,180,0,2025,-163.2880096649987,55.54924877541992,45199.73458081819,NaN,NaN,NaN,NaN,NaN,NaN
-30,180,10,2020,-163.66343034120038,55.582797007446786,45106.51050992792,NaN,NaN,NaN,NaN,NaN,NaN
-30,180,10,2022.5,-163.48092656497417,55.566989656734435,45044.40597697678,NaN,NaN,NaN,NaN,NaN,NaN
-30,180,10,2025,-163.29806815630099,55.550866694294086,44982.4513483008,NaN,NaN,NaN,NaN,NaN,NaN
-30,180,100,2020,-163.7415846793476,55.595229499299414,43207.372662119116,NaN,NaN,NaN,NaN,NaN,NaN
-30,180,100,2022.5,-163.56442706474994,55.57977781741153,43147.467954640495,NaN,NaN,NaN,NaN,NaN,NaN
-30,180,100,2025,-163.38691853154046,55.56402693855611,43087.69851053174,NaN,NaN,NaN,NaN,NaN,NaN
0,-180,0,2020,-169.14291529430287,10.940796545930471,32705.761437445315,NaN,NaN,NaN,NaN,NaN,NaN
0,-180,0,2022.5,-169.0066894515934,10.92451982094609,32683.847983636486,NaN,NaN,NaN,NaN,NaN,NaN
0,-180,0,2025,-168.87029656776465,10.90816096173225,32662.11552338932,NaN,NaN,NaN,NaN,NaN,NaN
0,-180,10,2020,-169.15059023520723,10.948275697858369,32549.89582308664,NaN,NaN,NaN,NaN,NaN,NaN
0,-180,10,2022.5,-169.01500890170294,10.932103830656509,32527.991779996228,NaN,NaN,NaN,NaN,NaN,NaN
0,-180,10,2025,-168.87926043095973,10.915850403781645,32506.26615012552,NaN,NaN,NaN,NaN,NaN,NaN
0,-180,100,2020,-169.217111320275,11.011138488581484,31190.462463614396,NaN,NaN,NaN,NaN,NaN,NaN
0,-180,100,2022.5,-169.08714912086853,10.995843216711641,31168.685288062723,NaN,NaN,NaN,NaN,NaN,NaN
0,-180,100,2025,-168.95701937827505,10.980471329063478,31147.065074381288,NaN,NaN,NaN,NaN,NaN,NaN
0,-90,0,2020,-174.02573987732194,-25.459265720745602,31436.60917422703,NaN,NaN,NaN,NaN,NaN,NaN
0,-90,0,2022.5,-174.3100763426163,-25.48600302522847,31309.457505406834,NaN,NaN,NaN,NaN,NaN,NaN
0,-90,0,2025,-174.59685255901573,-25.512402798522704,31182.94627607295,NaN,NaN,NaN,NaN,NaN,NaN
0,-90,10,2020,-174.04869427680111,-25.447080250484568,31283.132554104937,NaN,NaN,NaN,NaN,NaN,NaN
0,-90,10,2022.5,-174.33296371622328,-25.47260044888141,31156.53830752772,NaN,NaN,NaN,NaN,NaN,NaN
0,-90,10,2025,-174.61966760797793,-25.497773801091476,31030.580603346534,NaN,NaN,NaN,NaN,NaN,NaN
0,-90,100,2020,-174.24780604749927,-25.33862384369602,29946.705485562332,NaN,NaN,NaN,NaN,NaN,NaN
0,-90,100,2022.5,-174.53131201637825,-25.353558171418584,29825.027187703043,NaN,NaN,NaN,NaN,NaN,NaN
0,-90,100,2025,-174.81720453582903,-25.36806490806664,29703.952222583863,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,2020,177.50210172110573,18.417616884062944,28313.537635947552,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,2022.5,177.84857459342587,18.184584428675706,28232.63654038654,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,2025,178.1960877786283,17.949599475325662,28153.14105391813,NaN,NaN,NaN,NaN,NaN,NaN
0,0,10,2020,177.4864558165399,18.370138185109532,28174.49508273581,NaN,NaN,NaN,NaN,NaN,NaN
0,0,10,2022.5,177.83256882361127,18.137783175396944,28094.24057131746,NaN,NaN,NaN,NaN,NaN,NaN
